"","ensembl_gene_id","go_id"
"522","ENSOARG00000002790","GO:0030308"
"523","ENSOARG00000002790","GO:0032870"
"524","ENSOARG00000002790","GO:0005615"
"525","ENSOARG00000002790","GO:0008285"
"526","ENSOARG00000002790","GO:0009887"
"527","ENSOARG00000002790","GO:0010629"
"528","ENSOARG00000002798","GO:0006412"
"529","ENSOARG00000002798","GO:0005840"
"530","ENSOARG00000002798","GO:0003735"
"531","ENSOARG00000002798","GO:0005622"
"532","ENSOARG00000002887",""
"533","ENSOARG00000002924","GO:0007049"
"534","ENSOARG00000002924","GO:0005634"
"535","ENSOARG00000002924","GO:0045737"
"536","ENSOARG00000002924","GO:0000307"
"537","ENSOARG00000002924","GO:0001934"
"538","ENSOARG00000002924","GO:0005515"
"539","ENSOARG00000002924","GO:0019901"
"540","ENSOARG00000002924","GO:0004693"
"541","ENSOARG00000002924","GO:0042098"
"542","ENSOARG00000002924","GO:0051726"
"543","ENSOARG00000002924","GO:0007165"
"544","ENSOARG00000002991","GO:0008009"
"545","ENSOARG00000002991","GO:0006955"
"546","ENSOARG00000002991","GO:0005576"
"547","ENSOARG00000002991","GO:1902230"
"548","ENSOARG00000002991","GO:2000406"
"549","ENSOARG00000002991","GO:2000107"
"550","ENSOARG00000002991","GO:1903237"
"551","ENSOARG00000002991","GO:0042379"
"552","ENSOARG00000002991","GO:0045785"
"553","ENSOARG00000002991","GO:0090026"
"554","ENSOARG00000002991","GO:0045236"
"555","ENSOARG00000002991","GO:0070062"
"556","ENSOARG00000002991","GO:0070098"
"557","ENSOARG00000002991","GO:0060326"
"558","ENSOARG00000002991","GO:0009897"
"559","ENSOARG00000002991","GO:0030334"
"560","ENSOARG00000002991","GO:0030335"
"561","ENSOARG00000002991","GO:0007420"
"562","ENSOARG00000002991","GO:0007281"
"563","ENSOARG00000002991","GO:0008354"
"564","ENSOARG00000002991","GO:0042098"
"565","ENSOARG00000002991","GO:0008045"
"566","ENSOARG00000002991","GO:0098609"
"567","ENSOARG00000002991","GO:0001569"
"568","ENSOARG00000002991","GO:1901741"
"569","ENSOARG00000002991","GO:0001667"
"570","ENSOARG00000002991","GO:0050930"
"571","ENSOARG00000003042","GO:0004064"
"572","ENSOARG00000003042","GO:0046395"
"573","ENSOARG00000003042","GO:0019439"
"574","ENSOARG00000003042","GO:0070062"
"575","ENSOARG00000003042","GO:0042803"
"576","ENSOARG00000003042","GO:0032929"
"577","ENSOARG00000003044","GO:0090131"
"578","ENSOARG00000003044","GO:0044297"
"579","ENSOARG00000003044","GO:0030175"
"580","ENSOARG00000003044","GO:0010628"
"581","ENSOARG00000003044","GO:0030027"
"582","ENSOARG00000003044","GO:0005737"
"583","ENSOARG00000003044","GO:0005524"
"584","ENSOARG00000003044","GO:0000166"
"585","ENSOARG00000003044","GO:0030240"
